case_id,section,unite,horodatage_UTC,description,question,image,annotateur,verdict (d_accord/pas_d_accord/incertain),commentaire
NON-18,3B-non-evenement,H1,2026-07-02 00:00:00+00:00,"franchissement up SANS evenement — franchi en meche, cloture en deca",Le moteur a-t-il eu raison de NE PAS emettre ici ?,NON-18.png,,,
NON-19,3B-non-evenement,M15,2026-07-13 14:15:00+00:00,"franchissement down SANS evenement — franchi en meche, cloture en deca",Le moteur a-t-il eu raison de NE PAS emettre ici ?,NON-19.png,,,
NON-20,3B-non-evenement,M15,2026-06-22 11:00:00+00:00,franchissement up SANS evenement — niveau deja franchi (garde anti-repetition),Le moteur a-t-il eu raison de NE PAS emettre ici ?,NON-20.png,,,
NON-21,3B-non-evenement,M15,2026-06-05 22:45:00+00:00,franchissement down SANS evenement — niveau deja franchi (garde anti-repetition),Le moteur a-t-il eu raison de NE PAS emettre ici ?,NON-21.png,,,
NON-22,3B-non-evenement,M15,2026-07-10 00:00:00+00:00,"franchissement up SANS evenement — franchi en meche, cloture en deca",Le moteur a-t-il eu raison de NE PAS emettre ici ?,NON-22.png,,,
NON-23,3B-non-evenement,M15,2026-07-13 16:00:00+00:00,"franchissement down SANS evenement — franchi en meche, cloture en deca",Le moteur a-t-il eu raison de NE PAS emettre ici ?,NON-23.png,,,
NON-24,3B-non-evenement,M15,2026-07-03 11:30:00+00:00,franchissement up SANS evenement — niveau deja franchi (garde anti-repetition),Le moteur a-t-il eu raison de NE PAS emettre ici ?,NON-24.png,,,
NON-25,3B-non-evenement,H1,2026-07-13 16:00:00+00:00,franchissement down SANS evenement — niveau deja franchi (garde anti-repetition),Le moteur a-t-il eu raison de NE PAS emettre ici ?,NON-25.png,,,
EXTRA-01,8-evenement-ajoute-si-meche,H1,2026-07-07 03:00:00+00:00,bullish niveau 4160.63 (emis seulement en mode meche),Cet evenement manquant est-il un vrai evenement ou du bruit ?,EXTRA-01.png,,,
EXTRA-02,8-evenement-ajoute-si-meche,M15,2026-07-21 12:30:00+00:00,bullish niveau 4034.86 (emis seulement en mode meche),Cet evenement manquant est-il un vrai evenement ou du bruit ?,EXTRA-02.png,,,
EXTRA-03,8-evenement-ajoute-si-meche,H1,2026-07-09 04:00:00+00:00,bullish niveau 4085.91 (emis seulement en mode meche),Cet evenement manquant est-il un vrai evenement ou du bruit ?,EXTRA-03.png,,,
EXTRA-04,8-evenement-ajoute-si-meche,M15,2026-06-01 14:45:00+00:00,bearish niveau 4510.4 (emis seulement en mode meche),Cet evenement manquant est-il un vrai evenement ou du bruit ?,EXTRA-04.png,,,
EXTRA-05,8-evenement-ajoute-si-meche,H1,2026-07-10 23:00:00+00:00,bearish niveau 4094.84 (emis seulement en mode meche),Cet evenement manquant est-il un vrai evenement ou du bruit ?,EXTRA-05.png,,,
EXTRA-06,8-evenement-ajoute-si-meche,M15,2026-06-09 02:30:00+00:00,bullish niveau 4345.38 (emis seulement en mode meche),Cet evenement manquant est-il un vrai evenement ou du bruit ?,EXTRA-06.png,,,
EXTRA-07,8-evenement-ajoute-si-meche,H1,2026-07-16 22:00:00+00:00,bearish niveau 4012.55 (emis seulement en mode meche),Cet evenement manquant est-il un vrai evenement ou du bruit ?,EXTRA-07.png,,,
EXTRA-08,8-evenement-ajoute-si-meche,M15,2026-07-23 03:15:00+00:00,bearish niveau 4145.12 (emis seulement en mode meche),Cet evenement manquant est-il un vrai evenement ou du bruit ?,EXTRA-08.png,,,
EXTRA-09,8-evenement-ajoute-si-meche,H1,2026-07-21 12:00:00+00:00,bullish niveau 4039.42 (emis seulement en mode meche),Cet evenement manquant est-il un vrai evenement ou du bruit ?,EXTRA-09.png,,,
EXTRA-10,8-evenement-ajoute-si-meche,M15,2026-06-16 05:30:00+00:00,bearish niveau 4319.09 (emis seulement en mode meche),Cet evenement manquant est-il un vrai evenement ou du bruit ?,EXTRA-10.png,,,
EXTRA-11,8-evenement-ajoute-si-meche,H1,2026-07-07 11:00:00+00:00,bearish niveau 4129.33 (emis seulement en mode meche),Cet evenement manquant est-il un vrai evenement ou du bruit ?,EXTRA-11.png,,,
EXTRA-12,8-evenement-ajoute-si-meche,M15,2026-07-01 12:00:00+00:00,bearish niveau 3972.92 (emis seulement en mode meche),Cet evenement manquant est-il un vrai evenement ou du bruit ?,EXTRA-12.png,,,
EXTRA-13,8-evenement-ajoute-si-meche,H1,2026-07-27 08:00:00+00:00,bearish niveau 4022.09 (emis seulement en mode meche),Cet evenement manquant est-il un vrai evenement ou du bruit ?,EXTRA-13.png,,,
EXTRA-14,8-evenement-ajoute-si-meche,M15,2026-06-23 16:00:00+00:00,bearish niveau 4116.92 (emis seulement en mode meche),Cet evenement manquant est-il un vrai evenement ou du bruit ?,EXTRA-14.png,,,
EXTRA-15,8-evenement-ajoute-si-meche,H1,2026-06-08 11:00:00+00:00,bearish niveau 4309.97 (emis seulement en mode meche),Cet evenement manquant est-il un vrai evenement ou du bruit ?,EXTRA-15.png,,,
OPENCASE,4-cas-ouvert,H1,2026-07-24 23:00:00+00:00,Derive 24->28 juil sans evenement ; creux protege jamais cloture sous,D'accord : derive correcte sans CHOCH manque ?,OPENCASE.png,,,
